Job,Publish Date,Skills,Budget,Bids,Summary,Link
Desenvolvimento de Ferramenta Para Checkout Web com Integrações com Erp,11 de Maio de 2023 12:50,"Magento, PHP, WordPress",USD 1.000 - 3.000,1,"Procuro dev full stack para projeto de desenvolvimento de ferramenta checkout web (no site do cliente) com integração api em erp.

Categoria: TI e Programação
Subcategoria: Lojas Virtuais (e-commerce)
Qual é o alcance do projeto?: Alteração média
Isso é um projeto ou uma posição de trabalho?: Um projeto
... Ver mais detalhes",https://www.workana.com/job/desenvolvimento-de-ferramenta-para-checkout-web-com-integracoes-com-erp?ref=projects_1
Captação de dados automatizados,10 de Maio de 2023 23:27,"JavaScript, MySQL, PHP, API, HTML, HTML5, Python",USD 250 - 500,16,"Estou procurando um dev que possa extrair dados de forma automatizada de alguns sites para geração de uma planilha para futura exportação.

Categoria: TI e Programação
Subcategoria: Programação
Qual é o alcance do projeto?: Alteração média
Isso é um projeto ou uma posição de trabalho?: Um projeto
Tenho,... Ver mais detalhes",https://www.workana.com/job/captacao-de-dados-automatizados?ref=projects_1
Procura-se gestor de tráfego para parceria recorrente,09 de Maio de 2023 21:02,"Facebook, Google AdWords, Marketing Online",USD 15 - 45 / hora,40,"A agência precisa de um gestor de tráfego que consiga gerenciar anúncios com objetivos diversos (Conversão, Visualização e aquisição de seguidores).
É Indispensável o conhecimento em uma gestão de perfis que garanta a segurança das contas dos clientes evitando bloqueios.
Será um diferencial o... Ver mais detalhes",https://www.workana.com/job/procura-se-gestor-de-trafego-para-parceria-recorrente?ref=projects_1
Criação De Uma Logomarca,11 de Maio de 2023 14:22,"Design Gráfico, Ilustração, Adobe Illustrator",Menos de USD 50,0,"Bom dia,
Procuro um design para desenvolver minha logomarca da minha loja, na verdade tenho uma logo quero mudar um novo branding da marca, pode mudar toda logo só não pode mudar a paleta de cores, vou enviar a logo atual, preciso de algo bem clássico e moderno.
Fico no aguardo de um design que... Ver mais detalhes",https://www.workana.com/job/criacao-de-uma-logomarca-32?ref=projects_1
Coprywriting para uma landing page,11 de Maio de 2023 14:20,"Escrita de artigos, Edição de textos, Escrita criativa",USD 50 - 100,0,"Preciso de um Copywriter para desenvolver alguns textos para uma landing page que vou começar a desenvolver agora no início de junho. Precisa escrever o texto em inglês no primeiro momento, pois a página será criada para clientes nos Estados Unidos.

Categoria: Tradução e conteúdos
Subcategoria:... Ver mais detalhes",https://www.workana.com/job/coprywriting-para-uma-landing-page?ref=projects_1
Locução de Vsl,11 de Maio de 2023 14:17,"Design Gráfico, Adobe Illustrator, Adobe Photoshop",Menos de USD 50,1,"Gostaria de saber o preço de uma locução de aproximadamente 10 minutos, ela será utilizada como off de uma VSL, preciso pro mais rápido possível

Categoria: Design e Multimedia
Subcategoria: Outros",https://www.workana.com/job/locucao-de-vsl-162?ref=projects_1
Programador Web Scraping,11 de Maio de 2023 14:13,"JavaScript, MySQL, PHP",USD 100 - 250,0,"Fazer um script web scraping em site de aposta:
- Preferência Python
- Necessário que o script rode em docker e em headless (Pode ser selenium, playwringt, requests, websocket.)
- Garantir o pleno funcionamento, em caso de bugs nos primeiros dias após me entregar estar apto à corrigir.

Categoria: TI... Ver mais detalhes",https://www.workana.com/job/programador-web-scraping-5?ref=projects_1
"Vsl, depoimentos e gravações da marca",11 de Maio de 2023 14:13,"Adobe After Effects, Adobe Premiere, Edição de vídeo",Menos de USD 50,0,"quero alguém que faça conteudos relacionados a minha agencia de tráfego, quero que ela faça criativos e vsl para atrair mais clientes e fazer mais empreendedores conciente sobre o trafego e fazer conversões

Categoria: Design e Multimedia
Subcategoria: Criar ou editar vídeo
Do que você precisa?: Vídeo... Ver mais detalhes",https://www.workana.com/job/vsl-depoimentos-e-gravacoes-da-marca?ref=projects_1
Desenvolvimento de Website para Ong Santa Cannabis,11 de Maio de 2023 14:12,"CSS, HTML, Responsive Web Design",USD 500 - 1.000,1,"Desenvolver página web com conteúdo institucional da associação, que possa futuramente ser integrado ao sistema de gestão de associados (e-commerce). Já existe modelo de identidade visual a ser seguido, com cores e conteúdo basicamente prontos.

Categoria: TI e Programação
Subcategoria: Web Design
Qual... Ver mais detalhes",https://www.workana.com/job/desenvolvimento-de-website-para-ong-santa-cannabis?ref=projects_1
Desenvolvimento de Ferramenta Para Checkout Web com Integrações com Erp,11 de Maio de 2023 12:50,"Magento, PHP, WordPress",USD 1.000 - 3.000,1,"Procuro dev full stack para projeto de desenvolvimento de ferramenta checkout web (no site do cliente) com integração api em erp.

Categoria: TI e Programação
Subcategoria: Lojas Virtuais (e-commerce)
Qual é o alcance do projeto?: Alteração média
Isso é um projeto ou uma posição de trabalho?: Um projeto
... Ver mais detalhes",https://www.workana.com/job/desenvolvimento-de-ferramenta-para-checkout-web-com-integracoes-com-erp?ref=projects_2
