Job,Publish Date,Skills,Budget,Bids,Summary,Link,Category,Subcategory,3DRendering,3d,API,AdobeAfterEffects,AdobeIllustrator,AdobePhotoshop,AdobePremiere,Android,Angular9,AngularJS,Animação,AnáliseFinanceira,ApacheCordova,Arquitetura,AssistenteVirtual,Assistentedeadministração,Atençãoaocliente,Atuaçãodevoz,AutoCAD,AutodeskRevit,BigData,Blogs,Bootstrap,C,C#,CRM,CSS,Canva,Contabilidade,Coreldraw,Dart,DataEntry,DesenvolvimentoWeb,DesignGráfico,Diagramação,Docker,Edição,Ediçãodeaudio,Ediçãodetextos,Ediçãodevídeo,Eletrônica,EngenhariaCivil,EngenhariaElétrica,Escrita-Vendas,Escritacriativa,Escritadeartigos,Escritaonline,EstrategiadeMarketing,ExperiênciadoCliente,Facebook,FacebookAds,Flutter,Git,GoogleAdWords,GoogleAnalytics,GoogleCloudPlatform,HTML,HTML5,Hubspot,Identidadedemarcacorporativa,Ilustração,InformaçãoFinanceira,InstagramAds,Investigação,InvestigaçãodeMercado,Java,JavaScript,Laravel,LinkBuilding,Locutor,LojasVirtuais(e-commerce),Magento,Management,Marketing,MarketingOnline,MicrosoftExcel,MicrosoftPowerApps,MicrosoftPowerPoint,MicrosoftProject,Modelação3D,MongoDB,MySQL,Node.js,OAuth,PHP,PlanejamentoEstratégico,PowerBI,Python,React.js,ReactNative,RecursosHumanos,RedaçãoComercial,RedaçãoJurídica,ResponsiveWebDesign,SEO,Serviçoaocliente,Shopify,Sketch,Skype,SocialMediaMarketing,SolidWorks,SugarCRM,Telemarketing,TraduçãoaoInglês,Traduçãoaoespanhol,Traduçãoaoportuguês,Transcrição,Typescript,Vendas,WebDesign,WebScraping,Wix,WordPress,YouTube,['N/I'],iOS,iPhone,vtiger
Design para Marketing em mídias sociais,2023-05-11 14:53:00,"DesignGráfico,AdobeIllustrator,AdobePhotoshop",Mais de USD 45 / hora,2,"Desenvolver peças de campanhas para Instagram, Linkedin Facebook e fazer tublr para vídeos no youtube. Necessário Figma e pacote adobe. As entregas são dinâmicas e recorrentes",https://www.workana.com/job/design-para-marketing-em-midias-sociais?ref=projects_1,Design e Multimedia,Imagens para redes sociais,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desenvolvimento de Ferramenta Para Checkout Web com Integrações com Erp,2023-05-11 12:50:00,"Magento,PHP,WordPress",USD 1.000 - 3.000,4,Procuro dev full stack para projeto de desenvolvimento de ferramenta checkout web (no site do cliente) com integração api em erp.,https://www.workana.com/job/desenvolvimento-de-ferramenta-para-checkout-web-com-integracoes-com-erp?ref=projects_1,TI e Programação,Lojas Virtuais (e-commerce),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Procura-se gestor de tráfego para parceria recorrente,2023-05-09 21:02:00,"Facebook,GoogleAdWords,MarketingOnline",USD 15 - 45 / hora,41,"A agência precisa de um gestor de tráfego que consiga gerenciar anúncios com objetivos diversos (Conversão, Visualização e aquisição de seguidores).",https://www.workana.com/job/procura-se-gestor-de-trafego-para-parceria-recorrente?ref=projects_1,N/I,N/I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montar 500 Imagens De Capa Para Anuncios De Produtos,2023-05-11 15:46:00,AdobePhotoshop,USD 50 - 100,0,"O trabalho consiste em montar 500 imagens de capa de kits para publicação de anúncios. Essas imagens de capa de kits são composta por vários tipos de peças, então sua função será olhar em uma planilha o número de peças que cada kit tem e organizar essas peças (de acordo com a quantidade)  em... Ver mais detalhes",https://www.workana.com/job/montar-500-imagens-de-capa-para-anuncios-de-produtos?ref=projects_1,N/I,N/I,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anúncios/Criativos para produto digital.,2023-05-11 15:40:00,"Escritacriativa,Escritaonline,Escrita-Vendas,Ediçãodevídeo,+",USD 50 - 100,0,Leia tudo e olhe os documentos em anexo antes de enviar uma proposta!,https://www.workana.com/job/anuncios-criativos-para-produto-digital?ref=projects_1,N/I,N/I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Design Ux,2023-05-11 15:33:00,"WordPress,ResponsiveWebDesign,DesignGráfico,AdobeIllustrator,Sketch",USD 250 - 500,0,"Estamos montando um site com nosso time de desenvolvedores e tecnologia e precisamos de alguém que possa participar desse projeto com as seguintes funções: Elaboração de mapas de navegação do usuário, testes de usabilidade, criação, desenvolvimento e implementação de soluções inovadoras e atraentes,... Ver mais detalhes",https://www.workana.com/job/design-ux-4?ref=projects_1,N/I,N/I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Canal de Youtube - Tema - Arquitetura,2023-05-11 15:32:00,"AdobeAfterEffects,AdobePremiere,Ediçãodevídeo",Menos de USD 50,2,"Estamos iniciando um canal no Youtube  sobre arquitetura com postagem de vídeos semanal, procuramos um profissional para fazer a edição dos vídeos gravados pela nossa equipe. Precisamos de alguém com experiência em edição de vídeos para canais de Youtube. Como o nosso objetivo é subir pelo... Ver mais detalhes",https://www.workana.com/job/canal-de-youtube-tema-arquitetura?ref=projects_1,N/I,N/I,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Criação De Apresentação Em Ppt,2023-05-11 15:31:00,"Facebook,MarketingOnline,Marketing",USD 50 - 100,2,Criação basica de apresentação em ppt com animação em torno de 10 slides. Conteudo preparado,https://www.workana.com/job/criacao-de-apresentacao-em-ppt-8?ref=projects_1,Marketing e Vendas,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fazer homepage no Webflow de um site institucional,2023-05-11 15:31:00,"CSS,HTML,ResponsiveWebDesign,HTML5",USD 50 - 100,0,"Temos o layout do site em imagem e precisamos dessa página diretamente no Webflow. Atenção,  não pode ser html/css, bootstrap, etc. Precisa ser feito no formato e diretamente no Webflow.",https://www.workana.com/job/fazer-homepage-no-webflow-de-um-site-institucional?ref=projects_1,TI e Programação,Web Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Design para Marketing em mídias sociais,2023-05-11 14:53:00,"DesignGráfico,AdobeIllustrator,AdobePhotoshop",Mais de USD 45 / hora,2,"Desenvolver peças de campanhas para Instagram, Linkedin Facebook e fazer tublr para vídeos no youtube. Necessário Figma e pacote adobe. As entregas são dinâmicas e recorrentes",https://www.workana.com/job/design-para-marketing-em-midias-sociais?ref=projects_2,Design e Multimedia,Imagens para redes sociais,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
